192.168.10.3-192.168.10.9-53-57774-17,192.168.10.9,57774,192.168.10.3,53,17,5/7/2017 8:55,48543,2,2,80,202,40,40,40,0,101,101,101,0,5809.282492,82.4011701,16181,28019.38591,48535,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,40,40,41.20058505,41.20058505,40,101,64.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,80.5,40,101,40,0,0,0,0,0,0,2,80,2,202,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-62050-17,192.168.10.3,62050,192.168.10.1,53,17,5/7/2017 10:41,30757,1,1,55,71,55,55,55,0,71,71,71,0,4096.62841,65.02584777,30757,0,30757,30757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32.51292389,32.51292389,55,71,60.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,90.5,55,71,20,0,0,0,0,0,0,1,55,1,71,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.9-52.84.26.8-16770-443-6,192.168.10.9,16770,52.84.26.8,443,6,5/7/2017 11:01,5093753,10,7,391,5775,204,0,39.1,69.39812678,2333,0,825,919.6809229,1210.502355,3.337421347,318359.5625,1183929.499,4753596,19,5093753,565972.5556,1572345.314,4753596,48,308677,51446.16667,89444.59,230160,155,0,0,0,0,224,152,1.963189028,1.374232319,0,2333,342.5555556,676.7434323,457981.6732,0,0,0,1,0,0,0,0,0,362.7058824,39.1,825,224,0,0,0,0,0,0,10,391,7,5775,8192,119,8,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.9-199.96.57.6-16768-443-6,199.96.57.6,443,192.168.10.9,16768,6,5/7/2017 11:01,2,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,2.15E+07,1500000,1,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,60,0,1500000,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,60,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.9-52.84.26.8-16770-443-6,192.168.10.9,16770,52.84.26.8,443,6,5/7/2017 11:01,7,1,1,6,6,6,6,6,0,6,6,6,0,1714285.714,285714.2857,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,142857.1429,142857.1429,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,255,119,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.9-53-60305-17,192.168.10.9,60305,192.168.10.3,53,17,5/7/2017 9:46,139103,2,2,102,438,51,51,51,0,219,219,219,0,3882.015485,28.75567026,46367.66667,80265.2583,139050,4,4,4,0,4,4,49,49,0,49,49,0,0,0,0,40,40,14.37783513,14.37783513,51,219,118.2,92.01738966,8467.2,0,0,0,0,0,0,0,0,1,147.75,51,219,40,0,0,0,0,0,0,2,102,2,438,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-61932-17,192.168.10.3,61932,192.168.10.1,53,17,5/7/2017 10:56,61550,1,1,64,192,64,64,64,0,192,192,192,0,4159.220146,32.49390739,61550,0,61550,61550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16.2469537,16.2469537,64,192,106.6666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,160,64,192,32,0,0,0,0,0,0,1,64,1,192,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-61361-17,192.168.10.3,61361,192.168.10.1,53,17,5/7/2017 10:27,30703,1,1,47,63,47,47,47,0,63,63,63,0,3582.711787,65.14021431,30703,0,30703,30703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,32.57010716,32.57010716,47,63,52.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,78.5,47,63,20,0,0,0,0,0,0,1,47,1,63,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-61938-17,192.168.10.3,61938,192.168.10.1,53,17,5/7/2017 10:45,121597,1,1,47,196,47,47,47,0,196,196,196,0,1998.404566,16.4477742,121597,0,121597,121597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8.223887102,8.223887102,47,196,96.66666667,86.02519011,7400.333333,0,0,0,0,0,0,0,0,1,145,47,196,20,0,0,0,0,0,0,1,47,1,196,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.9-53-59451-17,192.168.10.9,59451,192.168.10.3,53,17,5/7/2017 9:56,157,2,2,88,120,44,44,44,0,60,60,60,0,1324840.764,25477.70701,52.33333333,84.58329228,150,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,64,12738.8535,12738.8535,44,60,50.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,63,44,60,64,0,0,0,0,0,0,2,88,2,120,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
